name,lat,lng,category,mode,dist,time
Howl at the Moon Philadelphia,39.94768699999999,-75.1665446,restaurant,transit,-1.0,5.0
Creperie Beau Monde & L'Etage,39.94127069999999,-75.152648,restaurant,transit,-1.0,15.0
Cameron's Seafood,39.9707094,-75.1601089,restaurant,transit,-1.0,14.0
World Cafe Live Philadelphia,39.9520673,-75.18517259999999,restaurant,transit,-1.0,7.0
The Continental Restaurant and Martini Bar,39.94967860000001,-75.14355959999997,restaurant,transit,-1.0,13.0
McCrossen's Tavern,39.9630934,-75.17092729999997,restaurant,transit,-1.0,11.0
St. Stephen's Green,39.96455050000001,-75.1660753,restaurant,transit,-1.0,14.0
Cavanaugh's Restaurant & Sports Bar,39.9545211,-75.19999809999999,restaurant,transit,-1.0,14.0
JG Domestic,39.9571241,-75.1821484,restaurant,transit,-1.0,10.0
Hummus Grill,39.954356,-75.202162,restaurant,transit,-1.0,14.0
Starbucks,39.95302609999999,-75.19223149999998,restaurant,transit,-1.0,10.0
Dunkin',39.96252570000001,-75.1636833,restaurant,transit,-1.0,12.0
Boot & Saddle,39.93685599999999,-75.1667638,restaurant,transit,-1.0,11.0
Ralph's Italian Restaurant,39.9400584,-75.1578321,restaurant,transit,-1.0,15.0
Vedge,39.9478911,-75.16138889999998,restaurant,transit,-1.0,7.0
Greek Lady,39.95336010000001,-75.20295759999998,restaurant,transit,-1.0,15.0
Fork,39.9500919,-75.14602370000001,restaurant,transit,-1.0,15.0
Barbuzzo,39.95000699999999,-75.16215770000002,restaurant,transit,-1.0,7.0
Pagano's Pizzeria,39.9516506,-75.15267829999998,restaurant,transit,-1.0,10.0
White Dog Cafe,39.9535582,-75.1929054,restaurant,transit,-1.0,11.0
Little Pete's,39.967080300000006,-75.17748259999998,restaurant,transit,-1.0,15.0
City View Pizza and Grill,39.963068,-75.16444299999998,restaurant,transit,-1.0,11.0
City Tap House Logan Square,39.9559106,-75.169578,restaurant,transit,-1.0,8.0
Parc,39.94912219999999,-75.170749,restaurant,transit,-1.0,3.0
Jones,39.9492661,-75.15248849999998,restaurant,transit,-1.0,11.0
12th & Filbert,39.9531992,-75.160217,restaurant,transit,-1.0,10.0
Cuba Libre Restaurant & Rum Bar - Philadelphia,39.9496092,-75.14393759999999,restaurant,transit,-1.0,13.0
Yakitori Boy,39.9559412,-75.1572626,restaurant,transit,-1.0,13.0
Umai Umai,39.964673,-75.17412999999998,restaurant,transit,-1.0,13.0
King of Tandoor,39.9603572,-75.1692901,restaurant,transit,-1.0,10.0
Talula's Garden,39.9472602,-75.15353470000002,restaurant,transit,-1.0,11.0
Devil's Den,39.93574419999999,-75.16199509999998,restaurant,transit,-1.0,15.0
Village Whiskey,39.9513999,-75.17377379999998,restaurant,transit,-1.0,5.0
Pagano's Market and Bar,39.95396799999999,-75.17356099999998,restaurant,transit,-1.0,7.0
Tsuki Sushi - Authentic Japanese Restaurant in Philadelphia，PA,39.9510933,-75.177133,restaurant,transit,-1.0,5.0
Devon Seafood Grill,39.9494863,-75.17063409999999,restaurant,transit,-1.0,3.0
Jim's South St. (Jim's Steaks South Street),39.9415536,-75.14931340000003,restaurant,transit,-1.0,15.0
Sabrina's Cafe & Spencer's Too,39.960273,-75.16870639999998,restaurant,transit,-1.0,10.0
Circles Thai,39.93069920000001,-75.170757,restaurant,transit,-1.0,13.0
Panda Express,39.95470299999999,-75.16849619999998,restaurant,transit,-1.0,7.0
Morning Glory Diner,39.9408402,-75.15887029999998,restaurant,transit,-1.0,14.0
Han Dynasty,39.956727,-75.19710400000002,restaurant,transit,-1.0,15.0
Fogo de Chão Brazilian Steakhouse,39.95091659999999,-75.1629711,restaurant,transit,-1.0,7.0
Tir na nOg Irish Bar & Grill,39.95437099999999,-75.16672709999997,restaurant,transit,-1.0,6.0
Sitar India,39.9555123,-75.19858,restaurant,transit,-1.0,14.0
The Bourse,39.94981020000001,-75.1475438,restaurant,transit,-1.0,13.0
Buddakan,39.9490386,-75.1471998,restaurant,transit,-1.0,13.0
Zahav,39.9462581,-75.1453259,restaurant,transit,-1.0,15.0
Osteria,39.965029,-75.16105600000002,restaurant,transit,-1.0,13.0
Pizzeria Vetri,39.96089170000001,-75.17121390000001,restaurant,transit,-1.0,11.0
City Tap House University City,39.95422979999999,-75.20148689999998,restaurant,transit,-1.0,14.0
South Philadelphia Tap Room,39.927216,-75.171477,restaurant,transit,-1.0,15.0
Sofitel Philadelphia at Rittenhouse Square,39.9507723,-75.1690167,restaurant,transit,-1.0,4.0
New Delhi Indian Restaurant,39.95539210000001,-75.2026195,restaurant,transit,-1.0,14.0
Boston Market,39.9556727,-75.20026170000001,restaurant,transit,-1.0,15.0
Chipotle Mexican Grill,39.954101,-75.200795,restaurant,transit,-1.0,14.0
McGillin's Olde Ale House,39.9501768,-75.1626101,restaurant,transit,-1.0,7.0
Shake Shack,39.9511265,-75.1738353,restaurant,transit,-1.0,5.0
Max Brenner - Philadelphia,39.94903329999999,-75.1662583,restaurant,transit,-1.0,5.0
VALANNI,39.94685,-75.162217,restaurant,transit,-1.0,8.0
Butcher and Singer,39.9489949,-75.1663033,restaurant,transit,-1.0,5.0
El Vez,39.94970199999999,-75.1617703,restaurant,transit,-1.0,7.0
Rose Tattoo Cafe,39.960758,-75.1698569,restaurant,transit,-1.0,10.0
Urban Saloon,39.9671692,-75.17291519999998,restaurant,transit,-1.0,14.0
Jack's Firehouse,39.9670667,-75.1733,restaurant,transit,-1.0,14.0
Cafe Lift,39.96044699999999,-75.15981,restaurant,transit,-1.0,13.0
Chima Steakhouse,39.95476499999999,-75.17267109999997,restaurant,transit,-1.0,6.0
HipCityVeg,39.9507609,-75.17039759999999,restaurant,transit,-1.0,4.0
Chick-fil-A,39.9589223,-75.19066389999998,restaurant,transit,-1.0,15.0
Zorba's Tavern,39.96715800000001,-75.17491600000002,restaurant,transit,-1.0,14.0
Vetri Cucina,39.94672429999999,-75.1631704,restaurant,transit,-1.0,8.0
Pod,39.9539708,-75.19603699999998,restaurant,transit,-1.0,12.0
Vernick Food & Drink,39.9508618,-75.1748874,restaurant,transit,-1.0,4.0
Blarney Stone,39.9547693,-75.20101559999998,restaurant,transit,-1.0,14.0
Prohibition Taproom,39.961304,-75.15930999999998,restaurant,transit,-1.0,12.0
Miss Rachel's Pantry,39.92651499999999,-75.17377599999998,restaurant,transit,-1.0,13.0
Green Eggs Cafe,39.931393,-75.166487,restaurant,transit,-1.0,15.0
Distrito,39.9558695,-75.20191290000002,restaurant,transit,-1.0,14.0
KFC,39.9717188,-75.1598948,restaurant,transit,-1.0,13.0
Fare,39.967072,-75.17128100000002,restaurant,transit,-1.0,14.0
Time,39.95003699999999,-75.16251290000002,restaurant,transit,-1.0,7.0
The Restaurant School at Walnut Hill College,39.9549347,-75.20741140000001,restaurant,transit,-1.0,15.0
Giovani Pizza,39.9515761,-75.1556396,restaurant,transit,-1.0,11.0
Morimoto,39.9496528,-75.153275,restaurant,transit,-1.0,10.0
Ruth's Chris Steak House,39.95295649999999,-75.1702986,restaurant,transit,-1.0,4.0
Pyramid Club,39.95336,-75.16972870000002,restaurant,transit,-1.0,5.0
Amada,39.948655,-75.14489300000002,restaurant,transit,-1.0,15.0
Mill Creek Tavern,39.9482447,-75.20729240000001,restaurant,transit,-1.0,15.0
Tinto,39.95151060000001,-75.1737407,restaurant,transit,-1.0,5.0
Shake Shack,39.9534403,-75.1883722,restaurant,transit,-1.0,10.0
The Rittenhouse Hotel,39.949831,-75.1732573,restaurant,transit,-1.0,4.0
Kansai,39.963185,-75.16932709999998,restaurant,transit,-1.0,13.0
Au Bon Pain,39.95394769999999,-75.1747192,restaurant,transit,-1.0,7.0
Good Dog Bar,39.94875880000001,-75.1662235,restaurant,transit,-1.0,5.0
Tequilas Restaurant / Bar,39.94848700000001,-75.16805099999998,restaurant,transit,-1.0,3.0
Dunkin',39.9531857,-75.193533,restaurant,transit,-1.0,11.0
Tria Cafe Wash West,39.9466238,-75.16091390000003,restaurant,transit,-1.0,8.0
Hard Rock Cafe,39.9521211,-75.15962270000001,restaurant,transit,-1.0,9.0
R2L Restaurant,39.9518068,-75.1672031,restaurant,transit,-1.0,4.0
Devil's Alley Bar & Grill,39.952118,-75.17221599999998,restaurant,transit,-1.0,5.0
Drinker's Pub,39.9521057,-75.17207259999998,restaurant,transit,-1.0,5.0
Oriental Chinese Restaurant,39.9279936,-75.1692692,restaurant,transit,-1.0,15.0
Starbucks,39.954724,-75.16668899999998,restaurant,transit,-1.0,6.0
