,name,lat,lng,category,mode,dist,time
103,Evo Brick Oven Pizza,40.05461,-75.19397,restaurant,bicycle,0.21,1.9
104,Hokka Hokka Japanese Restaurant,40.069058,-75.199519,restaurant,bicycle,1.33,11.05
105,Baker Street Bread Co. Cafe & Bakery,40.07117249999999,-75.20083309999998,restaurant,bicycle,1.5,12.47
106,Yu Hsiang Garden,40.067145000000004,-75.19717,restaurant,bicycle,1.18,9.58
107,Hong Kong Restaurant,40.05321349999999,-75.1859116,restaurant,bicycle,0.39,3.6
108,Christine Belton,40.0542766,-75.1868872,entertainment,pedestrian,0.4,11.35
109,Lovett Memorial Library,40.05677539999999,-75.18769,entertainment,pedestrian,0.32,9.23
110,Mount Airy Contemporary,40.05947159999999,-75.19167399999998,entertainment,pedestrian,0.47,12.85
111,Lovett Park,40.0567982,-75.18768829999998,entertainment,pedestrian,0.32,9.2
112,Allens Lane Art Center,40.0519751,-75.2031554,entertainment,bicycle,0.87,7.13
113,Imperfect Gallery,40.0348936,-75.1730135,entertainment,bicycle,1.83,13.85
114,October Gallery,40.04063199999999,-75.186408,entertainment,bicycle,1.21,9.45
115,Wendy Concannon Photography,40.071025399999996,-75.2006694,entertainment,bicycle,1.48,12.28
116,"Lucien Crump Gallery Art Education Resource Center, Inc.",40.045691,-75.18226190000001,entertainment,bicycle,0.93,7.53
117,Beatrice Golden Arts,40.069996,-75.19769579999998,entertainment,bicycle,1.33,10.85
118,Christine Belton,40.0542766,-75.1868872,entertainment,bicycle,0.4,3.7
119,McCarty Fine Art and Antiques,40.069487,-75.197339,entertainment,bicycle,1.31,10.78
120,WAX PORTRAIT GALLERY,40.041607299999995,-75.17820449999998,entertainment,bicycle,1.42,11.27
121,Mt. Airy Art Garage,40.050981,-75.1851135,entertainment,bicycle,0.54,4.7
122,McCarty Gallery,40.06934520000001,-75.1974323,entertainment,bicycle,1.29,10.4
123,ellen r brooks art studio,40.0743904,-75.20186770000002,entertainment,bicycle,1.73,14.3
124,Lovett Memorial Library,40.05677539999999,-75.18769,entertainment,bicycle,0.32,3.65
125,Joseph E. Coleman Northwest Regional Library,40.0340756,-75.1760812,entertainment,bicycle,1.89,14.53
126,Friends Free Library,40.03329420000001,-75.1716618,entertainment,bicycle,1.97,14.93
127,Little Free Library,40.04332,-75.181223,entertainment,bicycle,1.1,8.55
128,Cliveden of the National Trust,40.0480831,-75.18130529999998,entertainment,bicycle,0.94,8.87
129,Ebenezer Maxwell Mansion,40.0382074,-75.18362409999997,entertainment,bicycle,1.43,11.38
130,Germantown Historical Society,40.034341999999995,-75.17184499999998,entertainment,bicycle,1.93,14.8
131,Rittenhouse Town Homestead,40.0296631,-75.1904804,entertainment,bicycle,2.18,14.85
132,Mount Airy Contemporary,40.05947159999999,-75.19167399999998,entertainment,bicycle,0.47,4.2
133,Wyck Historic House And Garden,40.03993319999999,-75.17857729999999,entertainment,bicycle,1.38,11.43
134,DHEx Enterprises LLC,40.0451506,-75.18170400000002,entertainment,bicycle,0.97,7.72
135,Aces Museum,40.036981,-75.17546399999998,entertainment,bicycle,1.65,12.63
136,Lest We Forget Museum of Slavery,40.03440620000001,-75.17190029999998,entertainment,bicycle,1.92,14.77
137,Noe's studio,40.037777,-75.18288199999998,entertainment,bicycle,1.49,11.8
138,Johnson House Historic Site,40.0433454,-75.1812599,entertainment,bicycle,1.1,8.57
139,Black Writers Museum,40.035551,-75.17677599999998,entertainment,bicycle,1.76,13.68
140,Philadelphia insectarium,40.043779,-75.173439,entertainment,bicycle,1.43,11.33
141,Harris Benvenuti Inc,40.04074709999999,-75.177019,entertainment,bicycle,1.44,11.4
142,Maguire Stadium,40.06397450000001,-75.20716290000001,entertainment,bicycle,1.68,13.38
143,Germantown Supersite,40.07007410000001,-75.1732038,entertainment,bicycle,1.57,14.0
144,Cliveden of the National Trust,40.0480831,-75.18130529999998,entertainment,bicycle,0.94,8.87
145,Ebenezer Maxwell Mansion,40.0382074,-75.18362409999997,entertainment,bicycle,1.43,11.38
146,Germantown Historical Society,40.034341999999995,-75.17184499999998,entertainment,bicycle,1.93,14.8
147,Wyck Historic House And Garden,40.03993319999999,-75.17857729999999,entertainment,bicycle,1.38,11.43
